league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
LaLiga,2223,Almería,Adri Embarba,ESP,"FW,MF",30,1992,29,18,1472,16.4,4,3,7,3,1,1,5,1,0.24,0.18,0.43,0.18,0.37
LaLiga,2223,Almería,Alejandro Pozo Pozo,ESP,"DF,MF",23,1999,30,20,1880,20.9,0,3,3,0,0,0,2,0,0.0,0.14,0.14,0.0,0.14
LaLiga,2223,Almería,Arnau Puigmal,ESP,MF,21,2001,22,7,763,8.5,1,0,1,1,0,0,4,0,0.12,0.0,0.12,0.12,0.12
LaLiga,2223,Almería,Chumi,ESP,DF,23,1999,21,15,1489,16.5,1,0,1,1,0,0,5,0,0.06,0.0,0.06,0.06,0.06
LaLiga,2223,Almería,Curro,ESP,"FW,MF",26,1996,2,0,43,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Almería,César de la Hoz,ESP,MF,30,1992,25,18,1673,18.6,1,0,1,1,0,0,6,0,0.05,0.0,0.05,0.05,0.05
LaLiga,2223,Almería,Diego Mariño,ESP,GK,32,1990,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Almería,Dyego Sousa,POR,FW,32,1989,20,3,527,5.9,0,1,1,0,0,0,1,0,0.0,0.17,0.17,0.0,0.17
LaLiga,2223,Almería,El Bilal Touré,MLI,FW,20,2001,21,15,1264,14.0,7,2,9,7,0,0,0,0,0.5,0.14,0.64,0.5,0.64
LaLiga,2223,Almería,Fernando,ESP,GK,32,1990,37,37,3285,36.5,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Almería,Fernando Pacheco,ESP,GK,30,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Almería,Francisco Portillo,ESP,MF,32,1990,27,4,722,8.0,2,1,3,2,0,0,1,0,0.25,0.12,0.37,0.25,0.37
LaLiga,2223,Almería,Gonzalo Melero,ESP,MF,28,1994,27,24,1855,20.6,4,3,7,3,1,1,5,0,0.19,0.15,0.34,0.15,0.29
LaLiga,2223,Almería,Houboulang Mendes,GNB,DF,24,1998,14,11,886,9.8,0,1,1,0,0,0,2,0,0.0,0.1,0.1,0.0,0.1
LaLiga,2223,Almería,José Carlos Lazo,ESP,MF,26,1996,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Almería,Kaiky,BRA,DF,18,2004,13,7,581,6.5,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Almería,Largie Ramazani,BEL,"FW,MF",21,2001,33,13,1403,15.6,3,1,4,3,0,1,6,0,0.19,0.06,0.26,0.19,0.26
LaLiga,2223,Almería,Lucas Robertone,ARG,MF,25,1997,37,34,2843,31.6,2,7,9,2,0,0,7,0,0.06,0.22,0.28,0.06,0.28
LaLiga,2223,Almería,Luis Javier Suárez,COL,FW,24,1997,21,18,1490,16.6,4,4,8,4,0,0,4,1,0.24,0.24,0.48,0.24,0.48
LaLiga,2223,Almería,Lázaro,BRA,"FW,MF",20,2002,19,7,716,8.0,6,0,6,6,0,0,1,0,0.75,0.0,0.75,0.75,0.75
LaLiga,2223,Almería,Léo Baptistão,BRA,"FW,MF",29,1992,28,24,1726,19.2,4,1,5,4,0,0,7,0,0.21,0.05,0.26,0.21,0.26
LaLiga,2223,Almería,Marko Milovanović,SRB,FW,18,2003,2,0,15,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Almería,Rodrigo Ely,BRA,DF,28,1993,36,36,3155,35.1,0,1,1,0,0,0,10,1,0.0,0.03,0.03,0.0,0.03
LaLiga,2223,Almería,Samu Costa,POR,MF,21,2000,32,22,1989,22.1,1,2,3,1,0,0,5,0,0.05,0.09,0.14,0.05,0.14
LaLiga,2223,Almería,Sergio Akieme,ESP,DF,24,1997,29,27,2297,25.5,1,0,1,1,0,0,5,0,0.04,0.0,0.04,0.04,0.04
LaLiga,2223,Almería,Srđan Babić,SRB,DF,26,1996,34,33,2998,33.3,3,0,3,3,0,0,5,0,0.09,0.0,0.09,0.09,0.09
LaLiga,2223,Almería,Umar Sadiq,NGA,FW,25,1997,3,3,240,2.7,2,0,2,2,0,0,1,0,0.75,0.0,0.75,0.75,0.75
LaLiga,2223,Almería,Álex Centelles,ESP,"DF,MF",24,1997,15,11,1123,12.5,1,2,3,1,0,0,0,1,0.08,0.16,0.24,0.08,0.24
LaLiga,2223,Almería,Íñigo Eguaras,ESP,MF,30,1992,25,10,967,10.7,1,1,2,1,0,0,6,0,0.09,0.09,0.19,0.09,0.19
LaLiga,2223,Athletic Club,Adu Ares,ESP,MF,20,2001,8,0,84,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Athletic Club,Aitor Paredes,ESP,DF,22,2000,16,9,859,9.5,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Athletic Club,Ander Capa,ESP,DF,30,1992,7,1,109,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Athletic Club,Ander Herrera,ESP,MF,32,1989,17,9,697,7.7,0,1,1,0,0,0,4,1,0.0,0.13,0.13,0.0,0.13
LaLiga,2223,Athletic Club,Asier Villalibre,ESP,FW,24,1997,5,1,97,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Athletic Club,Dani García,ESP,MF,32,1990,25,18,1485,16.5,0,2,2,0,0,0,6,0,0.0,0.12,0.12,0.0,0.12
LaLiga,2223,Athletic Club,Daniel Vivian,ESP,DF,23,1999,29,26,2376,26.4,1,0,1,1,0,0,7,1,0.04,0.0,0.04,0.04,0.04
LaLiga,2223,Athletic Club,Gorka Guruzeta,ESP,FW,25,1996,30,17,1421,15.8,6,1,7,6,0,0,2,0,0.38,0.06,0.44,0.38,0.44
LaLiga,2223,Athletic Club,Iker Muniain,ESP,MF,29,1992,30,19,1689,18.8,0,3,3,0,0,0,2,0,0.0,0.16,0.16,0.0,0.16
LaLiga,2223,Athletic Club,Iñaki Williams,GHA,"FW,MF",28,1994,36,34,2836,31.5,10,3,13,9,1,2,2,0,0.32,0.1,0.41,0.29,0.38
LaLiga,2223,Athletic Club,Iñigo Lekue,ESP,DF,29,1993,20,14,1321,14.7,0,1,1,0,0,0,1,0,0.0,0.07,0.07,0.0,0.07
LaLiga,2223,Athletic Club,Iñigo Martínez,ESP,DF,31,1991,15,15,1338,14.9,1,0,1,1,0,0,1,0,0.07,0.0,0.07,0.07,0.07
LaLiga,2223,Athletic Club,Jon Morcillo,ESP,MF,23,1998,10,0,76,0.8,0,1,1,0,0,0,0,0,0.0,1.18,1.18,0.0,1.18
LaLiga,2223,Athletic Club,Julen Agirrezabala,ESP,GK,21,2000,8,7,675,7.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Athletic Club,Mikel Balenziaga,ESP,DF,34,1988,3,1,115,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Athletic Club,Mikel Vesga,ESP,MF,29,1993,36,28,2575,28.6,3,3,6,1,2,3,5,0,0.1,0.1,0.21,0.03,0.14
LaLiga,2223,Athletic Club,Nico Williams,ESP,MF,20,2002,36,32,2656,29.5,6,4,10,6,0,0,3,0,0.2,0.14,0.34,0.2,0.34
LaLiga,2223,Athletic Club,Oier Zarraga,ESP,MF,23,1999,26,6,852,9.5,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Athletic Club,Oihan Sancet,ESP,MF,22,2000,36,32,2532,28.1,10,2,12,8,2,2,6,1,0.36,0.07,0.43,0.28,0.36
LaLiga,2223,Athletic Club,Raúl García,ESP,"MF,FW",36,1986,35,6,967,10.7,2,3,5,2,0,0,4,0,0.19,0.28,0.47,0.19,0.47
LaLiga,2223,Athletic Club,Unai Simón,ESP,GK,25,1997,31,31,2745,30.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Athletic Club,Unai Vencedor Paris,ESP,MF,21,2000,10,0,193,2.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Athletic Club,Yeray Álvarez,ESP,DF,27,1995,28,27,2332,25.9,1,1,2,1,0,0,7,1,0.04,0.04,0.08,0.04,0.08
LaLiga,2223,Athletic Club,Yuri Berchiche,ESP,DF,32,1990,29,27,2406,26.7,1,1,2,1,0,0,9,1,0.04,0.04,0.07,0.04,0.07
LaLiga,2223,Athletic Club,Álex Berenguer,ESP,MF,27,1995,37,26,2297,25.5,4,1,5,4,0,0,2,0,0.16,0.04,0.2,0.16,0.2
LaLiga,2223,Athletic Club,Óscar de Marcos,ESP,DF,33,1989,37,32,2819,31.3,1,6,7,1,0,0,7,0,0.03,0.19,0.22,0.03,0.22
LaLiga,2223,Atlético Madrid,Antoine Griezmann,FRA,"FW,MF",31,1991,38,31,2859,31.8,15,16,31,15,0,0,2,0,0.47,0.5,0.98,0.47,0.98
LaLiga,2223,Atlético Madrid,Antonio Gomis,ESP,GK,19,2003,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Atlético Madrid,Axel Witsel,BEL,"DF,MF",33,1989,33,25,2258,25.1,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Atlético Madrid,Carlos Martín,ESP,"FW,MF",20,2002,4,0,28,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Atlético Madrid,Felipe,BRA,DF,33,1989,3,2,194,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Atlético Madrid,Geoffrey Kondogbia,CTA,MF,29,1993,20,10,1006,11.2,0,2,2,0,0,0,5,0,0.0,0.18,0.18,0.0,0.18
LaLiga,2223,Atlético Madrid,Ivo Grbić,CRO,GK,26,1996,12,10,922,10.2,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Atlético Madrid,Jan Oblak,SVN,GK,29,1993,28,28,2492,27.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Atlético Madrid,José María Giménez,URU,DF,27,1995,28,26,2423,26.9,2,1,3,2,0,0,9,0,0.07,0.04,0.11,0.07,0.11
LaLiga,2223,Atlético Madrid,João Félix,POR,"FW,MF",22,1999,14,7,650,7.2,4,3,7,4,0,0,5,0,0.55,0.42,0.97,0.55,0.97
LaLiga,2223,Atlético Madrid,Koke,ESP,MF,30,1992,33,30,2545,28.3,0,3,3,0,0,0,4,0,0.0,0.11,0.11,0.0,0.11
LaLiga,2223,Atlético Madrid,Marcos Llorente,ESP,MF,27,1995,22,21,1703,18.9,1,2,3,1,0,0,5,0,0.05,0.11,0.16,0.05,0.16
